circuit_id,min_bandwidth
0,38000
1,15000
2,13000
3,30000
4,63000
5,4900
6,13000
7,6700
8,56000
9,31000
10,15000
11,46000
12,13000
13,5900
14,42000
15,34000
16,14000
17,30000
18,15000
19,15000
20,28000
21,48000
22,16000
23,8100
24,26000
25,13000
26,25000
27,10000
28,13000
29,64000
30,15000
31,16000
32,19000
33,64000
34,25000
35,43000
36,15000
37,4300
38,42000
39,11000
40,15000
41,2700
42,46000
43,6800
44,11000
45,9700
46,13000
47,13000
48,34000
49,15000
50,15000
51,12000
52,15000
53,9700
54,21000
55,20000
56,15000
57,48000
58,10000
59,6400
60,15000
61,5400
62,12000
63,17000
64,15000
65,24000
66,19000
67,45000
68,15000
69,13000
70,23000
71,13000
72,19000
73,12000
74,44000
75,15000
76,39000
77,35000
78,13000
79,19000
80,8100
81,55000
82,13000
83,9200
84,3300
85,18000
86,30000
87,24000
88,46000
89,13000
90,15000
91,13000
92,13000
93,19000
94,15000
95,15000
96,64000
97,64000
98,15000
99,25000
100,2000
101,15000
102,41000
103,24000
104,15000
105,1700
106,15000
107,64000
108,42000
109,53000
110,22000
111,23000
112,10000
113,4200
114,15000
115,46000
116,19000
117,34000
118,13000
119,49000
120,21000
121,13000
122,28000
123,53000
124,13000
125,15000
126,19000
127,17000
128,34000
129,25000
130,4700
131,2600
132,13000
133,44000
134,21000
135,8100
136,6500
137,4300
138,26000
139,62000
140,13000
141,14000
142,39000
143,48000
144,19000
145,64000
146,15000
147,31000
148,33000
149,14000
150,15000
151,13000
152,15000
153,8300
154,46000
155,25000
156,45000
157,8400
158,8500
159,1100
160,46000
161,48000
162,13000
163,15000
164,15000
165,13000
166,16000
167,32000
168,15000
169,13000
170,33000
171,29000
172,6700
173,27000
174,7900
175,64000
176,29000
177,6000
178,23000
179,41000
180,23000
181,15000
182,13000
183,4600
184,46000
185,33000
186,64000
187,16000
188,13000
189,7900
190,64000
191,15000
192,13000
193,15000
194,64000
195,25000
196,33000
197,15000
198,4200
199,37000
200,46000
201,18000
202,8500
203,12000
204,18000
205,35000
206,64000
207,26000
208,46000
209,35000
210,15000
211,18000
212,2100
213,13000
214,42000
215,40000
216,22000
217,64000
218,25000
219,2500
220,51000
221,30000
222,23000
223,13000
224,15000
225,13000
226,13000
227,32000
228,13000
229,17000
230,11000
231,15000
232,17000
233,41000
234,13000
235,31000
236,42000
237,2800
238,11000
239,5200
240,6300
241,23000
242,16000
243,6300
244,15000
245,17000
246,7000
247,31000
248,15000
249,15000
250,15000
251,13000
252,14000
253,53000
254,27000
255,13000
256,15000
257,15000
258,11000
259,15000
260,24000
261,57000
262,45000
263,22000
264,21000
265,15000
266,13000
267,39000
268,23000
269,15000
270,41000
271,4800
272,13000
273,20000
274,26000
275,12000
276,20000
277,13000
278,15000
279,28000
280,7300
281,64000
282,30000
283,20000
284,26000
285,25000
286,55000
287,64000
288,1100
289,38000
290,10000
291,15000
292,13000
293,20000
294,29000
295,7700
296,15000
297,16000
298,17000
299,13000
300,22000
301,6100
302,64000
303,12000
304,16000
305,6900
306,64000
307,10000
308,7900
309,13000
310,17000
311,30000
312,29000
313,64000
314,23000
315,26000
316,30000
317,59000
318,8600
319,25000
320,37000
321,15000
322,7900
323,13000
324,15000
325,5300
326,54000
327,27000
328,2300
329,15000
330,57000
331,13000
332,24000
333,6000
334,52000
335,64000
336,19000
337,6500
338,28000
339,13000
340,38000
341,47000
342,20000
343,19000
344,9800
345,15000
346,7500
347,15000
348,12000
349,13000
350,22000
351,13000
352,21000
353,13000
354,43000
355,9400
356,11000
357,19000
358,11000
359,22000
360,44000
361,13000
362,15000
363,3000
364,59000
365,59000
366,13000
367,31000
368,36000
369,33000
370,13000
371,64000
372,18000
373,39000
374,13000
375,48000
376,48000
377,15000
378,17000
379,13000
380,64000
381,13000
382,43000
383,27000
384,11000
385,20000
386,15000
387,13000
388,46000
389,57000
390,30000
391,30000
392,3900
393,7900
394,4900
395,28000
396,21000
397,29000
398,38000
399,39000
400,48000
401,15000
402,27000
403,54000
404,53000
405,52000
406,13000
407,60000
408,15000
409,34000
410,33000
411,47000
412,33000
413,13000
414,15000
415,16000
416,13000
417,700
418,13000
419,14000
420,56000
421,35000
422,20000
423,6300
424,12000
425,8500
426,37000
427,33000
428,15000
429,13000
430,62000
431,61000
432,11000
433,64000
434,15000
435,7700
436,13000
437,28000
438,15000
439,58000
440,9100
441,15000
442,6900
443,5600
444,16000
445,15000
446,7500
447,46000
448,43000
449,42000
450,15000
451,3800
452,13000
453,23000
454,15000
455,57000
456,10000
457,14000
458,44000
459,3100
460,35000
461,14000
462,13000
463,13000
464,50000
465,15000
466,16000
467,13000
468,23000
469,47000
470,33000
471,47000
472,3800
473,12000
474,21000
475,34000
476,28000
477,29000
478,15000
479,40000
480,13000
481,15000
482,15000
483,5000
484,28000
485,49000
486,49000
487,58000
488,27000
489,5800
490,13000
491,16000
492,18000
493,13000
494,13000
495,15000
496,13000
497,24000
498,54000
499,2900
500,64000
501,15000
502,21000
503,13000
504,45000
505,19000
506,15000
507,23000
508,33000
509,45000
510,64000
511,37000
512,45000
513,21000
514,33000
515,57000
516,11000
517,14000
518,20000
519,13000
520,22000
521,42000
522,3000
523,11000
524,15000
525,15000
526,52000
527,38000
528,57000
529,28000
530,30000
531,55000
532,13000
533,38000
534,62000
535,64000
536,41000
537,5800
538,9000
539,51000
540,13000
541,29000
542,17000
543,14000
544,44000
545,14000
546,38000
547,58000
548,30000
549,39000
550,11000
551,25000
552,24000
553,15000
554,15000
555,13000
556,49000
557,27000
558,20000
559,35000
560,42000
561,4800
562,13000
563,13000
564,2100
565,24000
566,15000
567,35000
568,11000
569,36000
570,49000
571,15000
572,34000
573,23000
574,48000
575,5500
576,8100
577,15000
578,13000
579,33000
580,48000
581,53000
582,30000
583,20000
584,17000
585,15000
586,46000
587,45000
588,6700
589,28000
590,40000
591,40000
592,23000
593,40000
594,24000
595,59000
596,9000
597,48000
598,64000
599,19000
600,44000
601,16000
602,1400
603,16000
604,13000
605,64000
606,23000
607,8100
608,14000
609,11000
610,15000
611,30000
612,18000
613,13000
614,15000
615,6100
616,3100
617,8700
618,17000
619,34000
620,13000
621,11000
622,22000
623,53000
624,13000
625,64000
626,26000
627,36000
628,23000
629,11000
630,13000
631,13000
632,30000
633,15000
634,22000
635,5500
636,23000
637,5500
638,13000
639,64000
640,13000
641,14000
642,24000
643,10000
644,13000
645,26000
646,13000
647,53000
648,41000
649,15000
650,20000
651,4200
652,15000
653,13000
654,2200
655,13000
656,13000
657,29000
658,55000
659,53000
660,15000
661,29000
662,64000
663,6100
664,22000
665,27000
666,29000
667,58000
668,13000
669,8200
670,17000
671,51000
672,7400
673,26000
674,24000
675,25000
676,45000
677,11000
678,22000
679,28000
680,13000
681,23000
682,62000
683,13000
684,9900
685,15000
686,10000
687,13000
688,33000
689,33000
690,18000
691,13000
692,56000
693,13000
694,16000
695,13000
696,27000
697,7800
698,32000
699,40000
700,9700
701,41000
702,6000
703,20000
704,18000
705,13000
706,13000
707,7800
708,9200
709,2900
710,63000
711,17000
712,13000
713,40000
714,15000
715,27000
716,64000
717,24000
718,60000
719,8700
720,29000
721,9100
722,5300
723,13000
724,9100
725,15000
726,26000
727,64000
728,44000
729,12000
730,22000
731,25000
732,32000
733,11000
734,39000
735,13000
736,15000
737,20000
738,13000
739,7000
740,40000
741,49000
742,37000
743,25000
744,64000
745,13000
746,8600
747,33000
748,13000
749,30000
750,13000
751,8400
752,25000
753,13000
754,38000
755,12000
756,15000
757,15000
758,39000
759,16000
760,25000
761,29000
762,15000
763,42000
764,59000
765,27000
766,35000
767,15000
768,54000
769,38000
770,13000
771,30000
772,33000
773,30000
774,23000
775,5400
776,14000
777,47000
778,22000
779,23000
780,49000
781,14000
782,43000
783,31000
784,17000
785,13000
786,22000
787,37000
788,28000
789,19000
790,13000
791,19000
792,44000
793,36000
794,51000
795,21000
796,39000
797,15000
798,21000
799,5600
800,15000
801,48000
802,44000
803,37000
804,31000
805,13000
806,47000
807,15000
808,17000
809,38000
810,32000
811,13000
812,30000
813,15000
814,5400
815,13000
816,43000
817,23000
818,15000
819,43000
820,34000
821,15000
822,28000
823,14000
824,13000
825,18000
826,15000
827,64000
828,64000
829,38000
830,5800
831,13000
832,15000
833,2200
834,5900
835,15000
836,13000
837,37000
838,1500
839,3600
840,26000
841,51000
842,15000
843,22000
844,35000
845,40000
846,4400
847,62000
848,39000
849,31000
850,8100
851,29000
852,49000
853,62000
854,22000
855,15000
856,14000
857,55000
858,13000
859,13000
860,47000
861,10000
862,4200
863,5900
864,4200
865,43000
866,7300
867,15000
868,41000
869,15000
870,12000
871,19000
872,56000
873,9600
874,32000
875,7600
876,64000
877,51000
878,15000
879,14000
880,13000
881,28000
882,44000
883,3800
884,64000
885,36000
886,13000
887,15000
888,51000
889,13000
890,13000
891,1300
892,8000
893,15000
894,24000
895,24000
896,28000
897,11000
898,64000
899,13000
900,4700
901,26000
902,30000
903,11000
904,13000
905,12000
906,26000
907,4200
908,21000
909,15000
910,13000
911,47000
912,45000
913,14000
914,6400
915,13000
916,11000
917,36000
918,61000
919,29000
920,24000
921,14000
922,14000
923,11000
924,55000
925,31000
926,64000
927,13000
928,20000
929,56000
930,53000
931,8500
932,34000
933,15000
934,64000
935,20000
936,13000
937,9700
938,20000
939,64000
940,13000
941,9500
942,15000
943,58000
944,10000
945,22000
946,13000
947,44000
948,19000
949,13000
950,13000
951,13000
952,15000
953,33000
954,15000
955,19000
956,26000
957,40000
958,46000
959,15000
960,15000
961,9300
962,50000
963,15000
964,11000
965,13000
966,12000
967,15000
968,64000
969,58000
970,32000
971,13000
972,40000
973,9000
974,28000
975,11000
976,15000
977,1900
978,64000
979,57000
980,7000
981,4900
982,21000
983,13000
984,64000
985,6300
986,64000
987,13000
988,13000
989,30000
990,7600
991,13000
992,13000
993,13000
994,20000
995,64000
996,13000
997,15000
998,3900
999,22000
1000,15000
1001,64000
1002,19000
1003,15000
1004,64000
1005,13000
1006,6800
1007,41000
1008,8500
1009,37000
1010,13000
1011,64000
1012,32000
1013,11000
1014,14000
1015,12000
1016,64000
1017,13000
1018,11000
1019,30000
1020,17000
1021,15000
1022,23000
1023,57000
1024,50000
1025,64000
1026,25000
1027,33000
1028,50000
1029,13000
1030,15000
1031,15000
1032,13000
1033,6300
1034,17000
1035,5100
1036,64000
1037,43000
1038,11000
1039,13000
1040,5200
1041,53000
1042,33000
1043,28000
1044,13000
1045,15000
1046,22000
1047,39000
1048,22000
1049,22000
1050,4700
1051,18000
1052,13000
1053,14000
1054,43000
1055,5700
1056,24000
1057,15000
1058,53000
1059,57000
1060,9100
1061,36000
1062,15000
1063,13000
1064,41000
1065,33000
1066,17000
1067,1100
1068,8200
1069,10000
1070,13000
1071,7900
1072,39000
1073,15000
1074,64000
1075,29000
1076,32000
1077,32000
1078,57000
1079,15000
1080,15000
1081,7700
1082,53000
1083,44000
1084,27000
1085,15000
1086,39000
1087,13000
1088,64000
1089,11000
1090,15000
1091,13000
1092,10000
1093,64000
1094,64000
1095,18000
1096,24000
1097,41000
1098,25000
1099,64000
1100,15000
1101,13000
1102,63000
1103,16000
1104,27000
1105,13000
1106,3000
1107,12000
1108,64000
1109,3200
1110,13000
1111,30000
1112,49000
1113,11000
1114,13000
1115,26000
1116,43000
1117,25000
1118,27000
1119,7600
1120,28000
1121,51000
1122,7200
1123,18000
1124,15000
1125,5100
1126,27000
1127,36000
1128,64000
1129,15000
1130,5700
1131,13000
1132,15000
1133,9000
1134,7400
1135,45000
1136,42000
1137,10000
1138,43000
1139,23000
1140,38000
1141,35000
1142,64000
1143,15000
1144,15000
1145,13000
1146,21000
1147,7500
1148,3100
1149,51000
1150,46000
1151,8600
1152,13000
1153,3800
1154,51000
1155,40000
1156,7200
1157,6500
1158,33000
1159,47000
1160,8500
1161,6900
1162,42000
1163,47000
1164,13000
1165,32000
1166,13000
1167,15000
1168,26000
1169,5600
1170,13000
1171,42000
1172,420
1173,6100
1174,29000
1175,17000
1176,13000
1177,53000
1178,18000
1179,42000
1180,13000
1181,13000
1182,46000
1183,8300
1184,15000
1185,29000
1186,15000
1187,27000
1188,13000
1189,19000
1190,27000
1191,25000
1192,21000
1193,48000
1194,4900
1195,13000
1196,57000
1197,21000
1198,15000
1199,25000
1200,12000
1201,10000
1202,6300
1203,8500
1204,13000
1205,27000
1206,40000
1207,15000
1208,15000
1209,13000
1210,22000
1211,19000
1212,42000
1213,33000
1214,30000
1215,14000
1216,15000
1217,57000
1218,15000
1219,20000
1220,9800
1221,6100
1222,5900
1223,29000
1224,2500
1225,33000
1226,50000
1227,11000
1228,15000
1229,15000
1230,15000
1231,15000
1232,14000
1233,13000
1234,25000
1235,1100
1236,64000
1237,41000
1238,58000
1239,14000
1240,32000
1241,15000
1242,15000
1243,15000
1244,47000
1245,5800
1246,15000
1247,33000
1248,11000
1249,24000
1250,53000
1251,14000
1252,2400
1253,13000
1254,15000
1255,33000
1256,33000
1257,18000
1258,46000
1259,18000
1260,32000
1261,13000
1262,15000
1263,44000
1264,46000
1265,45000
1266,15000
1267,21000
1268,3300
1269,7700
1270,53000
1271,2100
1272,13000
1273,64000
1274,50000
1275,14000
1276,13000
1277,13000
1278,57000
1279,35000
1280,52000
1281,15000
1282,12000
1283,16000
1284,20000
1285,64000
1286,43000
1287,50000
1288,8700
1289,23000
1290,49000
1291,49000
1292,61000
1293,44000
1294,47000
1295,40000
1296,15000
1297,12000
1298,7200
1299,21000
1300,13000
1301,15000
1302,3500
1303,12000
1304,53000
1305,9200
1306,17000
1307,31000
1308,14000
1309,20000
1310,3600
1311,12000
1312,16000
1313,7000
1314,15000
1315,40000
1316,25000
1317,15000
1318,7600
1319,15000
1320,64000
1321,22000
1322,15000
1323,64000
1324,14000
1325,13000
1326,20000
1327,4900
1328,45000
1329,15000
1330,21000
1331,13000
1332,29000
1333,51000
1334,27000
1335,47000
1336,53000
1337,13000
1338,24000
1339,5500
1340,20000
1341,44000
1342,51000
1343,26000
1344,13000
1345,22000
1346,13000
1347,22000
1348,13000
1349,33000
1350,13000
1351,25000
1352,13000
1353,13000
1354,63000
1355,42000
1356,28000
1357,15000
1358,25000
1359,12000
1360,41000
1361,46000
1362,16000
1363,13000
1364,27000
1365,15000
1366,13000
1367,12000
1368,64000
1369,9200
1370,5300
1371,20000
1372,15000
1373,18000
1374,13000
1375,42000
1376,13000
1377,20000
1378,19000
1379,16000
1380,22000
1381,23000
1382,13000
1383,15000
1384,42000
1385,3000
1386,7600
1387,5700
1388,15000
1389,30000
1390,23000
1391,12000
1392,48000
1393,15000
1394,27000
1395,30000
1396,49000
1397,1800
1398,23000
1399,41000
1400,8200
1401,26000
1402,16000
1403,31000
1404,12000
1405,15000
1406,13000
1407,13000
1408,52000
1409,36000
1410,31000
1411,42000
1412,55000
1413,13000
1414,64000
1415,15000
1416,47000
1417,30000
1418,46000
1419,18000
1420,15000
1421,13000
1422,19000
1423,5200
1424,13000
1425,220
1426,38000
1427,29000
1428,13000
1429,13000
1430,15000
1431,55000
1432,30000
1433,55000
1434,13000
1435,13000
1436,7300
1437,13000
1438,49000
1439,20000
1440,22000
1441,4800
1442,47000
1443,64000
1444,35000
1445,11000
1446,31000
1447,5500
1448,15000
1449,13000
1450,13000
1451,32000
1452,23000
1453,12000
1454,16000
1455,24000
1456,8600
1457,37000
1458,18000
1459,27000
1460,9900
1461,61000
1462,5300
1463,49000
1464,13000
1465,16000
1466,36000
1467,26000
1468,45000
1469,18000
1470,13000
1471,24000
1472,26000
1473,15000
1474,13000
1475,48000
1476,15000
1477,25000
1478,34000
1479,13000
1480,13000
1481,13000
1482,13000
1483,53000
1484,30000
1485,13000
1486,43000
1487,11000
1488,27000
1489,45000
1490,15000
1491,34000
1492,8100
1493,19000
1494,8500
1495,20000
1496,51000
1497,8300
1498,15000
1499,64000
1500,15000
1501,29000
1502,18000
1503,31000
1504,12000
1505,33000
1506,5200
1507,24000
1508,15000
1509,53000
1510,31000
1511,64000
1512,13000
1513,15000
1514,15000
1515,39000
1516,55000
1517,15000
1518,25000
1519,52000
1520,14000
1521,22000
1522,22000
1523,11000
1524,64000
1525,5400
1526,13000
1527,37000
1528,17000
1529,23000
1530,36000
1531,37000
1532,53000
1533,13000
1534,26000
1535,15000
1536,7400
1537,60000
1538,36000
1539,15000
1540,18000
1541,52000
1542,8700
1543,15000
1544,42000
1545,5200
1546,29000
1547,64000
1548,30000
1549,13000
1550,20000
1551,59000
1552,18000
1553,64000
1554,5600
1555,13000
1556,38000
1557,42000
1558,25000
1559,31000
1560,5100
1561,12000
1562,25000
1563,9300
1564,13000
1565,60000
1566,11000
1567,20000
1568,51000
1569,20000
1570,5400
1571,27000
1572,5500
1573,6700
1574,53000
1575,2100
1576,13000
1577,5400
1578,8200
1579,31000
1580,19000
1581,62000
1582,33000
1583,51000
1584,13000
1585,41000
1586,15000
1587,13000
1588,19000
1589,15000
1590,54000
1591,35000
1592,13000
1593,15000
1594,64000
1595,13000
1596,17000
1597,23000
1598,20000
1599,14000
1600,4700
1601,13000
1602,64000
1603,52000
1604,51000
1605,12000
1606,27000
1607,23000
1608,13000
1609,12000
1610,46000
1611,52000
1612,15000
1613,7900
1614,9600
1615,32000
1616,5200
1617,15000
1618,25000
1619,15000
1620,29000
1621,35000
1622,4900
1623,5900
1624,29000
1625,4900
1626,7500
1627,25000
1628,64000
1629,8300
1630,15000
1631,17000
1632,32000
1633,26000
1634,45000
1635,16000
1636,15000
1637,4500
1638,26000
1639,15000
1640,15000
1641,21000
1642,12000
1643,15000
1644,55000
1645,36000
1646,19000
1647,62000
1648,51000
1649,18000
1650,53000
1651,35000
1652,13000
1653,39000
1654,13000
1655,5100
1656,30000
1657,47000
1658,25000
1659,13000
1660,15000
1661,5500
1662,18000
