circuit_id,min_bandwidth
0,55000
1,19000
2,9100
3,13000
4,33000
5,57000
6,23000
7,13000
8,15000
9,30000
10,64000
11,11000
12,31000
13,15000
14,42000
15,36000
16,27000
17,47000
18,9300
19,15000
20,19000
21,21000
22,15000
23,31000
24,25000
25,15000
26,15000
27,64000
28,44000
29,32000
30,6000
31,28000
32,50000
33,48000
34,5500
35,5700
36,38000
37,5200
38,55000
39,34000
40,15000
41,22000
42,19000
43,33000
44,31000
45,64000
46,38000
47,16000
48,64000
49,30000
50,13000
51,24000
52,13000
53,26000
54,18000
55,18000
56,39000
57,26000
58,23000
59,5200
60,42000
61,36000
62,59000
63,30000
64,14000
65,45000
66,15000
67,57000
68,28000
69,13000
70,13000
71,15000
72,8800
73,28000
74,24000
75,20000
76,39000
77,13000
78,36000
79,15000
80,19000
81,15000
82,34000
83,62000
84,30000
85,16000
86,6000
87,24000
88,13000
89,13000
90,33000
91,20000
92,31000
93,43000
94,33000
95,13000
96,30000
97,12000
98,3800
99,4500
100,20000
101,24000
102,40000
103,49000
104,32000
105,41000
106,35000
107,24000
108,24000
109,13000
110,13000
111,20000
112,21000
113,22000
114,26000
115,64000
116,57000
117,38000
118,15000
119,15000
120,18000
121,49000
122,3200
123,17000
124,26000
125,58000
126,39000
127,15000
128,4000
129,11000
130,15000
131,20000
132,63000
133,24000
134,13000
135,15000
136,33000
137,40000
138,15000
139,40000
140,13000
141,44000
142,28000
143,13000
144,62000
145,46000
146,61000
147,13000
148,35000
149,15000
150,7600
151,53000
152,6800
153,41000
154,18000
155,64000
156,24000
157,6100
158,21000
159,16000
160,38000
161,39000
162,20000
163,15000
164,15000
165,17000
166,8200
167,15000
168,27000
169,6500
170,14000
171,18000
172,24000
173,7400
174,15000
175,3000
176,15000
177,15000
178,36000
179,15000
180,10000
181,38000
182,15000
183,15000
184,5800
185,15000
186,44000
187,64000
188,13000
189,64000
190,20000
191,13000
192,13000
193,40000
194,18000
195,42000
196,64000
197,48000
198,12000
199,15000
200,25000
201,13000
202,31000
203,29000
204,13000
205,8800
206,43000
207,14000
208,22000
209,64000
210,64000
211,25000
212,14000
213,35000
214,13000
215,10000
216,15000
217,14000
218,11000
219,15000
220,13000
221,64000
222,16000
223,49000
224,16000
225,64000
226,22000
227,44000
228,48000
229,16000
230,8500
231,36000
232,8000
233,53000
234,43000
235,4500
236,43000
237,19000
238,19000
239,35000
240,55000
241,15000
242,13000
243,6700
244,22000
245,46000
246,32000
247,12000
248,5200
249,15000
250,35000
251,13000
252,4300
253,15000
254,64000
255,12000
256,63000
257,25000
258,24000
259,9900
260,30000
261,35000
262,6300
263,47000
264,4400
265,19000
266,11000
267,15000
268,47000
269,42000
270,64000
271,680
272,17000
273,13000
274,16000
275,13000
276,38000
277,7900
278,13000
279,15000
280,61000
281,55000
282,14000
283,15000
284,29000
285,15000
286,44000
287,13000
288,51000
289,45000
290,18000
291,64000
292,43000
293,20000
294,2100
295,30000
296,8000
297,4300
298,40000
299,30000
300,13000
301,1700
302,64000
303,37000
304,11000
305,34000
306,43000
307,49000
308,48000
309,13000
310,12000
311,15000
312,6700
313,30000
314,32000
315,27000
316,15000
317,6400
318,64000
319,15000
320,17000
321,47000
322,24000
323,9800
324,41000
325,13000
326,3100
327,13000
328,13000
329,11000
330,8400
331,13000
332,13000
333,64000
334,13000
335,15000
336,33000
337,43000
338,29000
339,29000
340,15000
341,64000
342,32000
343,2300
344,39000
345,6300
346,15000
347,37000
348,15000
349,18000
350,26000
351,38000
352,19000
353,33000
354,15000
355,13000
356,3400
357,13000
358,64000
359,17000
360,62000
361,13000
362,64000
363,30000
364,15000
365,4200
366,8200
367,6500
368,24000
369,24000
370,13000
371,29000
372,44000
373,16000
374,33000
